score,m,n,max_score,sim
33.926666666666655,326,226,77.43666666666657,69
30.75000000000002,326,226,77.43666666666657,70
29.769999999999996,326,226,77.43666666666657,71
32.346666666666664,326,226,77.43666666666657,72
30.793333333333337,326,226,77.43666666666657,73
31.950000000000014,326,226,77.43666666666657,74
32.736666666666665,326,226,77.43666666666657,75
29.819999999999993,326,226,77.43666666666657,76
29.040000000000006,326,226,77.43666666666657,77
28.053333333333345,326,226,77.43666666666657,78
29.096666666666664,326,226,77.43666666666657,79
30.286666666666687,326,226,77.43666666666657,80
30.583333333333336,326,226,77.43666666666657,81
31.403333333333357,326,226,77.43666666666657,82
28.830000000000005,326,226,77.43666666666657,83
28.680000000000014,326,226,77.43666666666657,84
30.986666666666675,326,226,77.43666666666657,85
28.346666666666675,326,226,77.43666666666657,86
32.12000000000001,326,226,77.43666666666657,87
28.530000000000005,326,226,77.43666666666657,88
31.423333333333343,326,226,77.43666666666657,89
29.770000000000017,326,226,77.43666666666657,90
29.733333333333352,326,226,77.43666666666657,91
30.82000000000002,326,226,77.43666666666657,92
32.353333333333346,326,226,77.43666666666657,93
31.150000000000016,326,226,77.43666666666657,94
30.933333333333344,326,226,77.43666666666657,95
35.196666666666665,326,226,77.43666666666657,96
33.44333333333334,326,226,77.43666666666657,97
29.47333333333334,326,226,77.43666666666657,98
29.009999999999998,326,226,77.43666666666657,99
30.189999999999998,326,226,77.43666666666657,100
64.32333333333322,544,444,164.55333333333314,1
60.176666666666584,544,444,164.55333333333314,2
57.62333333333325,544,444,164.55333333333314,3
65.85333333333328,544,444,164.55333333333314,4
66.82333333333322,544,444,164.55333333333314,5
60.71666666666661,544,444,164.55333333333314,6
60.48333333333324,544,444,164.55333333333314,7
61.28333333333329,544,444,164.55333333333314,8
63.58999999999993,544,444,164.55333333333314,9
59.21666666666657,544,444,164.55333333333314,10
66.09666666666656,544,444,164.55333333333314,11
60.56333333333328,544,444,164.55333333333314,12
60.949999999999925,544,444,164.55333333333314,13
60.33666666666654,544,444,164.55333333333314,14
64.98999999999991,544,444,164.55333333333314,15
60.126666666666615,544,444,164.55333333333314,16
62.63999999999989,544,444,164.55333333333314,17
62.743333333333254,544,444,164.55333333333314,18
72.24666666666657,544,444,164.55333333333314,19
61.379999999999946,544,444,164.55333333333314,20
61.21666666666662,544,444,164.55333333333314,21
60.74999999999994,544,444,164.55333333333314,22
61.74666666666656,544,444,164.55333333333314,23
56.33333333333326,544,444,164.55333333333314,24
61.52999999999994,544,444,164.55333333333314,25
64.46333333333324,544,444,164.55333333333314,26
62.0133333333333,544,444,164.55333333333314,27
62.713333333333274,544,444,164.55333333333314,28
57.8099999999999,544,444,164.55333333333314,29
62.82999999999989,544,444,164.55333333333314,30
65.81333333333328,544,444,164.55333333333314,31
64.38333333333333,544,444,164.55333333333314,32
65.24333333333323,544,444,164.55333333333314,33
62.74999999999993,544,444,164.55333333333314,34
66.18333333333322,544,444,164.55333333333314,35
62.37333333333326,544,444,164.55333333333314,36
60.65666666666657,544,444,164.55333333333314,37
66.6299999999999,544,444,164.55333333333314,38
59.426666666666556,544,444,164.55333333333314,39
66.4499999999999,544,444,164.55333333333314,40
60.62333333333324,544,444,164.55333333333314,41
58.4399999999999,544,444,164.55333333333314,42
61.10666666666655,544,444,164.55333333333314,43
59.17333333333327,544,444,164.55333333333314,44
62.08666666666658,544,444,164.55333333333314,45
60.04333333333325,544,444,164.55333333333314,46
60.23333333333331,544,444,164.55333333333314,47
58.69666666666656,544,444,164.55333333333314,48
57.329999999999956,544,444,164.55333333333314,49
63.42999999999998,544,444,164.55333333333314,50
59.829999999999934,544,444,164.55333333333314,51
59.649999999999906,544,444,164.55333333333314,52
62.74666666666664,544,444,164.55333333333314,53
57.03666666666665,544,444,164.55333333333314,54
63.12333333333321,544,444,164.55333333333314,55
61.11333333333327,544,444,164.55333333333314,56
60.54333333333327,544,444,164.55333333333314,57
59.43999999999997,544,444,164.55333333333314,58
60.57999999999996,544,444,164.55333333333314,59
58.27666666666661,544,444,164.55333333333314,60
57.556666666666686,544,444,164.55333333333314,61
60.119999999999926,544,444,164.55333333333314,62
58.106666666666655,544,444,164.55333333333314,63
62.833333333333215,544,444,164.55333333333314,64
60.949999999999946,544,444,164.55333333333314,65
56.22999999999992,544,444,164.55333333333314,66
63.60999999999997,544,444,164.55333333333314,67
63.05666666666658,544,444,164.55333333333314,68
59.9566666666666,544,444,164.55333333333314,69
60.95333333333328,544,444,164.55333333333314,70
61.72999999999993,544,444,164.55333333333314,71
63.63333333333325,544,444,164.55333333333314,72
68.27999999999989,544,444,164.55333333333314,73
64.49999999999994,544,444,164.55333333333314,74
61.47999999999996,544,444,164.55333333333314,75
61.93999999999988,544,444,164.55333333333314,76
60.01666666666653,544,444,164.55333333333314,77
61.34333333333326,544,444,164.55333333333314,78
61.076666666666576,544,444,164.55333333333314,79
67.23666666666658,544,444,164.55333333333314,80
62.3233333333332,544,444,164.55333333333314,81
